cell_id,tree_fraction,shrub_fraction,grass_fraction,built_fraction_wc,green_fraction_wc,impervious_fraction,osm_green_fraction,path_km,ndvi_mean,lst_rank,habitat_quality,richness_corrected,n_obs,species_shannon,corridor_importance,fragmentation_index,patch_area_ha,expected_richness,ecological_residual,underperformance,impact_score,resid_norm,corr_norm,composite,intervention_rank,connectivity_gain_pct,counterfactual_note,primary_action
359,0.9861111111111112,0,0,0.013888888888888888,0.9861111111111112,0.00645807616749039,1,0.40983757347211136,NA,NA,0.9900521476247941,1.8204784532536746,3,0.6365141682948128,0.01667364893171345,-2.875,0,346.5182516686779,-344.69777321542426,344.69777321542426,-49,0.9839493933260988,0.01667364893171345,0.5486753083486254,11,NA,Counterfactual not yet computed — run full pipeline,Increase native plant diversity
17,1,0,0,0,1,0,1,0.11778844533023607,NA,NA,1,13.19846878608914,79,3.1866228983283134,0.042188241865661384,-2.125,132.85714285714286,350,-336.80153121391083,336.80153121391083,-48,0.9600463277429899,0.042188241865661384,0.5470101890981921,12,NA,Counterfactual not yet computed — run full pipeline,Increase native plant diversity
47,1,0,0,0,1,4.326880922178589e-5,0.9819609664418957,0.011951841562714801,NA,NA,0.9972833277639789,2.8853900817779268,2,0.6931471805599453,0,-2.625,132.85714285714286,349.0491647173926,-346.1637746356147,346.1637746356147,-49,0.9883871914691935,0,0.5436129553080564,13,NA,Counterfactual not yet computed — run full pipeline,Increase native plant diversity
16,1,0,0,0,1,0.030243920305429807,1,0.3368951388217855,NA,NA,0.9924390199236426,2.8853900817779268,6,1.329661348854758,0,-2.125,132.85714285714286,347.3536569732749,-344.46826689149697,344.46826689149697,-49,0.9832546445188154,0,0.5407900544853486,14,NA,Counterfactual not yet computed — run full pipeline,Increase native plant diversity
48,0.9822485207100592,0,0,0.01775147928994083,0.9822485207100592,0.01182349464851974,1,0.3547429920726001,NA,NA,0.9863932387639056,4.829155252582136,19,2.4336989513854284,0,-2.75,132.85714285714286,345.23763356736697,-340.4084783147848,340.4084783147848,-49,0.970965077838348,0,0.5340307928110914,15,NA,Counterfactual not yet computed — run full pipeline,Increase native plant diversity
332,0.9171597633136095,0,0.07692307692307693,0,0.9940828402366864,0.001714107500831119,1,0.08933787752649996,NA,NA,0.9690981003437271,0,0,NA,0,-1.125,132.85714285714286,339.18433512030447,-339.18433512030447,339.18433512030447,-48,0.9672594194941417,0,0.531992680721778,16,NA,Counterfactual not yet computed — run full pipeline,Increase native plant diversity
110,0.9585798816568047,0,0,0.04142011834319527,0.9585798816568047,0.0022270440018701265,0.9393712026880525,0,NA,NA,0.9654968483968231,0,0,NA,0,-2.75,132.85714285714286,337.9238969388881,-337.9238969388881,337.9238969388881,-48,0.963443890979682,0,0.5298941400388252,17,NA,Counterfactual not yet computed — run full pipeline,Increase native plant diversity
50,0.9467455621301775,0,0,0.023668639053254437,0.9467455621301775,0,1,0.6066229017115362,NA,NA,0.9680473372781065,2.4853397382384474,8,1.3862943611198906,0,-2.375,132.85714285714286,338.8165680473373,-336.33122830909883,336.33122830909883,-48,0.9586226528891173,0,0.5272424590890146,18,NA,Counterfactual not yet computed — run full pipeline,Increase native plant diversity
296,0.9881656804733728,0,0,0.011834319526627219,0.9881656804733728,0.046499468892057104,0.8366486567018484,0.15831579046506306,NA,NA,0.9567718395662866,0,0,NA,0,-2,0,334.8701438482003,-334.8701438482003,334.8701438482003,-48,0.9541997390923231,0,0.5248098565007777,19,NA,Counterfactual not yet computed — run full pipeline,Increase native plant diversity
46,0.8994082840236687,0,0,0.10059171597633136,0.8994082840236687,0,0.9882090272957313,0.23530644337545964,NA,NA,0.937876324508561,0,0,NA,0.009467951403435275,-2.5,132.85714285714286,328.2567135779963,-328.2567135779963,328.2567135779963,-47,0.9341799299922848,0.009467951403435275,0.5180595396273026,20,NA,Counterfactual not yet computed — run full pipeline,Increase native plant diversity
